Article_ID,Study_ID,Comparative_study_code,Latitude,Longitude,Publication_Year,Newspaper,Publisher,Article_Population,Population_studied,Population_homogenized,Group_taxo_included,Taxonomic_resolution,Taxonomic_detailed,Number_of_species_sampled,Number_of_collected_individuals,Ecological_group,Intervention_R1,Intervention_R2,Intervention_R3,Intervention_copy_paste,Mod_season,Mod_crop_rotation,Mod_sampling_location,Mod_soil_type,Mod_time_period,Mod_country,Mod_nb_sites,Mod_crop_species,Comparator,Outcome_indicator,Number_of_species,Outcome_metric,Outcome_divided_into_classes,Class,Outcome_type_R1,Outcome_type_R2,Outcome_type_R3,Data location,Hypothesis ,Trait_set,Number_of_traits,Trait_group,Number of trait groups,Study_country,Study_design,Source,N_c,Mean_c,Type_variation_c,Variation_c,N_t,Type_variation_t,Variation_t
s_5,s_5,Pelosi_2013_11,48.800000,2.133333,2013,Applied Soil Ecology,Elsevier,Earthworm,Earthworms,Earthworms,"Lumbricus castaneus, Lumbricus rubellus, Satchellius mammalis, Lumbricus terrestris, Aporrectodea nocturna, Aporrectodea longa, Aporrectodea giardi, Allolobophora chlorotica, Aporrectodea icterica, Aporrectodea caliginosa, Aporrectodea rosea",Family,Family Lumbricidae,11,NA,"Epigeic, Anecic, Endogeic",Individual practice,Tillage management,Plowing,P,,,,,,,,,Superficial tillage,Surface density,11,Individuals.m⁻²,No,NA,Taxonomical,NA,Univariate,"Boxplot, Figure 2.A","First, concerning ecomorphological groups, we hypothesized that (1) mechanical de-intensification changes their distribution, favoring anecics, as well as the species living in the topsoil, mostly epigeics, due to the progressive establishment of an organic layer. Second, tillage acts as an environmental filter, hence (2) functional traits converge to a narrower range of values with increasing of intensity of tillage. Regarding the diversity of traits, four sub-hypotheses are considered: (3.1) the largest and the most fragile (with a supple epithelium) organisms are most affected by intensive tillage. (3.2) More earthworms with a larger feather typhlosolis are found in plots with lower nutrient availability, i.e. the plowed plots. This hypothesis is based on Stevens and Hume (1995) who found that a larger feather typhlosolis is associated with higher nutrient uptake efficiency.",NA,NA,NA,NA,France,CI : gradient,NA,,,,,,,
s_5,s_5,Pelosi_2013_12,48.800000,2.133333,2013,Applied Soil Ecology,Elsevier,Earthworm,Earthworms,Earthworms,"Lumbricus castaneus, Lumbricus rubellus, Satchellius mammalis, Lumbricus terrestris, Aporrectodea nocturna, Aporrectodea longa, Aporrectodea giardi, Allolobophora chlorotica, Aporrectodea icterica, Aporrectodea caliginosa, Aporrectodea rosea",Family,Family Lumbricidae,11,NA,"Epigeic, Anecic, Endogeic",Individual practice,Tillage management,Plowing,P,,,,,,,,,Direct-seeding,Surface density,11,Individuals.m⁻²,No,NA,Taxonomical,NA,Univariate,"Boxplot, Figure 2.B","First, concerning ecomorphological groups, we hypothesized that (1) mechanical de-intensification changes their distribution, favoring anecics, as well as the species living in the topsoil, mostly epigeics, due to the progressive establishment of an organic layer. Second, tillage acts as an environmental filter, hence (2) functional traits converge to a narrower range of values with increasing of intensity of tillage. Regarding the diversity of traits, four sub-hypotheses are considered: (3.1) the largest and the most fragile (with a supple epithelium) organisms are most affected by intensive tillage. (3.2) More earthworms with a larger feather typhlosolis are found in plots with lower nutrient availability, i.e. the plowed plots. This hypothesis is based on Stevens and Hume (1995) who found that a larger feather typhlosolis is associated with higher nutrient uptake efficiency.",NA,NA,NA,NA,France,CI : gradient,NA,,,,,,,
s_5,s_5,Pelosi_2013_13,48.800000,2.133333,2013,Applied Soil Ecology,Elsevier,Earthworm,Earthworms,Earthworms,"Lumbricus castaneus, Lumbricus rubellus, Satchellius mammalis, Lumbricus terrestris, Aporrectodea nocturna, Aporrectodea longa, Aporrectodea giardi, Allolobophora chlorotica, Aporrectodea icterica, Aporrectodea caliginosa, Aporrectodea rosea",Family,Family Lumbricidae,11,NA,"Epigeic, Anecic, Endogeic",Individual practice,Tillage management,Plowing,P,,,,,,,,,Superficial tillage,Surface density,11,Individuals.m⁻²,No,NA,Taxonomical,NA,Univariate,"Boxplot, Figure 2.C","First, concerning ecomorphological groups, we hypothesized that (1) mechanical de-intensification changes their distribution, favoring anecics, as well as the species living in the topsoil, mostly epigeics, due to the progressive establishment of an organic layer. Second, tillage acts as an environmental filter, hence (2) functional traits converge to a narrower range of values with increasing of intensity of tillage. Regarding the diversity of traits, four sub-hypotheses are considered: (3.1) the largest and the most fragile (with a supple epithelium) organisms are most affected by intensive tillage. (3.2) More earthworms with a larger feather typhlosolis are found in plots with lower nutrient availability, i.e. the plowed plots. This hypothesis is based on Stevens and Hume (1995) who found that a larger feather typhlosolis is associated with higher nutrient uptake efficiency.",NA,NA,NA,NA,France,CI : gradient,NA,,,,,,,
s_5,s_5,Pelosi_2013_14,48.800000,2.133333,2013,Applied Soil Ecology,Elsevier,Earthworm,Earthworms,Earthworms,"Lumbricus castaneus, Lumbricus rubellus, Satchellius mammalis, Lumbricus terrestris, Aporrectodea nocturna, Aporrectodea longa, Aporrectodea giardi, Allolobophora chlorotica, Aporrectodea icterica, Aporrectodea caliginosa, Aporrectodea rosea",Family,Family Lumbricidae,11,NA,"Epigeic, Anecic, Endogeic",Individual practice,Tillage management,Superficial tillage,ST,,,,,,,,,Direct-seeding,Surface density,11,Individuals.m⁻²,No,NA,Taxonomical,NA,Univariate,"Boxplot, Figure 2.D","First, concerning ecomorphological groups, we hypothesized that (1) mechanical de-intensification changes their distribution, favoring anecics, as well as the species living in the topsoil, mostly epigeics, due to the progressive establishment of an organic layer. Second, tillage acts as an environmental filter, hence (2) functional traits converge to a narrower range of values with increasing of intensity of tillage. Regarding the diversity of traits, four sub-hypotheses are considered: (3.1) the largest and the most fragile (with a supple epithelium) organisms are most affected by intensive tillage. (3.2) More earthworms with a larger feather typhlosolis are found in plots with lower nutrient availability, i.e. the plowed plots. This hypothesis is based on Stevens and Hume (1995) who found that a larger feather typhlosolis is associated with higher nutrient uptake efficiency.",NA,NA,NA,NA,France,CI : gradient,NA,,,,,,,
s_5,s_5,Pelosi_2013_15,48.800000,2.133333,2013,Applied Soil Ecology,Elsevier,Earthworm,Earthworms,Earthworms,"Lumbricus castaneus, Lumbricus rubellus, Satchellius mammalis, Lumbricus terrestris, Aporrectodea nocturna, Aporrectodea longa, Aporrectodea giardi, Allolobophora chlorotica, Aporrectodea icterica, Aporrectodea caliginosa, Aporrectodea rosea",Family,Family Lumbricidae,11,NA,"Epigeic, Anecic, Endogeic",Individual practice,Tillage management,Plowing,P,,,,,,,,,Direct-seeding,Surface density,11,Individuals.m⁻²,No,NA,Taxonomical,NA,Univariate,"Boxplot, Figure 2.D","First, concerning ecomorphological groups, we hypothesized that (1) mechanical de-intensification changes their distribution, favoring anecics, as well as the species living in the topsoil, mostly epigeics, due to the progressive establishment of an organic layer. Second, tillage acts as an environmental filter, hence (2) functional traits converge to a narrower range of values with increasing of intensity of tillage. Regarding the diversity of traits, four sub-hypotheses are considered: (3.1) the largest and the most fragile (with a supple epithelium) organisms are most affected by intensive tillage. (3.2) More earthworms with a larger feather typhlosolis are found in plots with lower nutrient availability, i.e. the plowed plots. This hypothesis is based on Stevens and Hume (1995) who found that a larger feather typhlosolis is associated with higher nutrient uptake efficiency.",NA,NA,NA,NA,France,CI : gradient,NA,,,,,,,
s_5,s_5,Pelosi_2013_16,48.800000,2.133333,2013,Applied Soil Ecology,Elsevier,Earthworm,Earthworms,Earthworms,"Lumbricus castaneus, Lumbricus rubellus, Satchellius mammalis, Lumbricus terrestris, Aporrectodea nocturna, Aporrectodea longa, Aporrectodea giardi, Allolobophora chlorotica, Aporrectodea icterica, Aporrectodea caliginosa, Aporrectodea rosea",Family,Family Lumbricidae,11,NA,"Epigeic, Anecic, Endogeic",Individual practice,Tillage management,Plowing,P,,,,,,,,,Superficial tillage,Surface density,11,Individuals.m⁻²,No,NA,Taxonomical,NA,Univariate,"Boxplot, Figure 2.D","First, concerning ecomorphological groups, we hypothesized that (1) mechanical de-intensification changes their distribution, favoring anecics, as well as the species living in the topsoil, mostly epigeics, due to the progressive establishment of an organic layer. Second, tillage acts as an environmental filter, hence (2) functional traits converge to a narrower range of values with increasing of intensity of tillage. Regarding the diversity of traits, four sub-hypotheses are considered: (3.1) the largest and the most fragile (with a supple epithelium) organisms are most affected by intensive tillage. (3.2) More earthworms with a larger feather typhlosolis are found in plots with lower nutrient availability, i.e. the plowed plots. This hypothesis is based on Stevens and Hume (1995) who found that a larger feather typhlosolis is associated with higher nutrient uptake efficiency.",NA,NA,NA,NA,France,CI : gradient,NA,,,,,,,
s_5,s_5,Pelosi_2013_17,48.800000,2.133333,2013,Applied Soil Ecology,Elsevier,Earthworm,Earthworms,Earthworms,"Lumbricus castaneus, Lumbricus rubellus, Satchellius mammalis, Lumbricus terrestris, Aporrectodea nocturna, Aporrectodea longa, Aporrectodea giardi, Allolobophora chlorotica, Aporrectodea icterica, Aporrectodea caliginosa, Aporrectodea rosea",Family,Family Lumbricidae,11,NA,"Epigeic, Anecic, Endogeic",Individual practice,Tillage management,Superficial tillage,ST,,,,,,,,,Direct-seeding,Rao's quadratic diversity,11,NA,No,NA,Functional,MultiTrait value,Univariate,"Boxplot, Figure 3.A","First, concerning ecomorphological groups, we hypothesized that (1) mechanical de-intensification changes their distribution, favoring anecics, as well as the species living in the topsoil, mostly epigeics, due to the progressive establishment of an organic layer. Second, tillage acts as an environmental filter, hence (2) functional traits converge to a narrower range of values with increasing of intensity of tillage. Regarding the diversity of traits, four sub-hypotheses are considered: (3.1) the largest and the most fragile (with a supple epithelium) organisms are most affected by intensive tillage. (3.2) More earthworms with a larger feather typhlosolis are found in plots with lower nutrient availability, i.e. the plowed plots. This hypothesis is based on Stevens and Hume (1995) who found that a larger feather typhlosolis is associated with higher nutrient uptake efficiency.","Body size, Body mass/length ratio, Epithelium type, Cocoon diameter, Typhlosolis type, Vertical distribution, Carbon requirement",7,"Morphological, Behavioral, Physiological",3,France,CI : gradient,"Bouché (1972), Sims and Gerard (1999), Gerard (1967), Lavelle (1998), Rundgren (1975)",,,,,,,
s_5,s_5,Pelosi_2013_18,48.800000,2.133333,2013,Applied Soil Ecology,Elsevier,Earthworm,Earthworms,Earthworms,"Lumbricus castaneus, Lumbricus rubellus, Satchellius mammalis, Lumbricus terrestris, Aporrectodea nocturna, Aporrectodea longa, Aporrectodea giardi, Allolobophora chlorotica, Aporrectodea icterica, Aporrectodea caliginosa, Aporrectodea rosea",Family,Family Lumbricidae,11,NA,"Epigeic, Anecic, Endogeic",Individual practice,Tillage management,Plowing,P,,,,,,,,,Direct-seeding,Rao's quadratic diversity,11,NA,No,NA,Functional,MultiTrait value,Univariate,"Boxplot, Figure 3.A","First, concerning ecomorphological groups, we hypothesized that (1) mechanical de-intensification changes their distribution, favoring anecics, as well as the species living in the topsoil, mostly epigeics, due to the progressive establishment of an organic layer. Second, tillage acts as an environmental filter, hence (2) functional traits converge to a narrower range of values with increasing of intensity of tillage. Regarding the diversity of traits, four sub-hypotheses are considered: (3.1) the largest and the most fragile (with a supple epithelium) organisms are most affected by intensive tillage. (3.2) More earthworms with a larger feather typhlosolis are found in plots with lower nutrient availability, i.e. the plowed plots. This hypothesis is based on Stevens and Hume (1995) who found that a larger feather typhlosolis is associated with higher nutrient uptake efficiency.","Body size, Body mass/length ratio, Epithelium type, Cocoon diameter, Typhlosolis type, Vertical distribution, Carbon requirement",7,"Morphological, Behavioral, Physiological",3,France,CI : gradient,"Bouché (1972), Sims and Gerard (1999), Gerard (1967), Lavelle (1998), Rundgren (1975)",,,,,,,
s_5,s_5,Pelosi_2013_19,48.800000,2.133333,2013,Applied Soil Ecology,Elsevier,Earthworm,Earthworms,Earthworms,"Lumbricus castaneus, Lumbricus rubellus, Satchellius mammalis, Lumbricus terrestris, Aporrectodea nocturna, Aporrectodea longa, Aporrectodea giardi, Allolobophora chlorotica, Aporrectodea icterica, Aporrectodea caliginosa, Aporrectodea rosea",Family,Family Lumbricidae,11,NA,"Epigeic, Anecic, Endogeic",Individual practice,Tillage management,Plowing,P,,,,,,,,,Superficial tillage,Rao's quadratic diversity,11,NA,No,NA,Functional,MultiTrait value,Univariate,"Boxplot, Figure 3.A","First, concerning ecomorphological groups, we hypothesized that (1) mechanical de-intensification changes their distribution, favoring anecics, as well as the species living in the topsoil, mostly epigeics, due to the progressive establishment of an organic layer. Second, tillage acts as an environmental filter, hence (2) functional traits converge to a narrower range of values with increasing of intensity of tillage. Regarding the diversity of traits, four sub-hypotheses are considered: (3.1) the largest and the most fragile (with a supple epithelium) organisms are most affected by intensive tillage. (3.2) More earthworms with a larger feather typhlosolis are found in plots with lower nutrient availability, i.e. the plowed plots. This hypothesis is based on Stevens and Hume (1995) who found that a larger feather typhlosolis is associated with higher nutrient uptake efficiency.","Body size, Body mass/length ratio, Epithelium type, Cocoon diameter, Typhlosolis type, Vertical distribution, Carbon requirement",7,"Morphological, Behavioral, Physiological",3,France,CI : gradient,"Bouché (1972), Sims and Gerard (1999), Gerard (1967), Lavelle (1998), Rundgren (1975)",,,,,,,
s_5,s_5,Pelosi_2013_20,48.800000,2.133333,2013,Applied Soil Ecology,Elsevier,Earthworm,Earthworms,Earthworms,"Lumbricus castaneus, Lumbricus rubellus, Satchellius mammalis, Lumbricus terrestris, Aporrectodea nocturna, Aporrectodea longa, Aporrectodea giardi, Allolobophora chlorotica, Aporrectodea icterica, Aporrectodea caliginosa, Aporrectodea rosea",Family,Family Lumbricidae,11,NA,"Epigeic, Anecic, Endogeic",Individual practice,Tillage management,Plowing,P,,,,,,,,,Direct-seeding,Rao's quadratic diversity,11,NA,No,NA,Functional,MultiTrait value,Univariate,"Boxplot, Figure 3.B","First, concerning ecomorphological groups, we hypothesized that (1) mechanical de-intensification changes their distribution, favoring anecics, as well as the species living in the topsoil, mostly epigeics, due to the progressive establishment of an organic layer. Second, tillage acts as an environmental filter, hence (2) functional traits converge to a narrower range of values with increasing of intensity of tillage. Regarding the diversity of traits, four sub-hypotheses are considered: (3.1) the largest and the most fragile (with a supple epithelium) organisms are most affected by intensive tillage. (3.2) More earthworms with a larger feather typhlosolis are found in plots with lower nutrient availability, i.e. the plowed plots. This hypothesis is based on Stevens and Hume (1995) who found that a larger feather typhlosolis is associated with higher nutrient uptake efficiency.","Body size, Body mass/length ratio, Epithelium type, Cocoon diameter, Typhlosolis type, Vertical distribution, Carbon requirement",7,"Morphological, Behavioral, Physiological",3,France,CI : gradient,"Bouché (1972), Sims and Gerard (1999), Gerard (1967), Lavelle (1998), Rundgren (1975)",,,,,,,
s_5,s_5,Pelosi_2013_21,48.800000,2.133333,2013,Applied Soil Ecology,Elsevier,Earthworm,Earthworms,Earthworms,"Lumbricus castaneus, Lumbricus rubellus, Satchellius mammalis, Lumbricus terrestris, Aporrectodea nocturna, Aporrectodea longa, Aporrectodea giardi, Allolobophora chlorotica, Aporrectodea icterica, Aporrectodea caliginosa, Aporrectodea rosea",Family,Family Lumbricidae,11,NA,"Epigeic, Anecic, Endogeic",Individual practice,Tillage management,Plowing,P,,,,,,,,,Superficial tillage,Rao's quadratic diversity,11,NA,No,NA,Functional,MultiTrait value,Univariate,"Boxplot, Figure 3.C","First, concerning ecomorphological groups, we hypothesized that (1) mechanical de-intensification changes their distribution, favoring anecics, as well as the species living in the topsoil, mostly epigeics, due to the progressive establishment of an organic layer. Second, tillage acts as an environmental filter, hence (2) functional traits converge to a narrower range of values with increasing of intensity of tillage. Regarding the diversity of traits, four sub-hypotheses are considered: (3.1) the largest and the most fragile (with a supple epithelium) organisms are most affected by intensive tillage. (3.2) More earthworms with a larger feather typhlosolis are found in plots with lower nutrient availability, i.e. the plowed plots. This hypothesis is based on Stevens and Hume (1995) who found that a larger feather typhlosolis is associated with higher nutrient uptake efficiency.","Body size, Body mass/length ratio, Epithelium type, Cocoon diameter, Typhlosolis type, Vertical distribution, Carbon requirement",7,"Morphological, Behavioral, Physiological",3,France,CI : gradient,"Bouché (1972), Sims and Gerard (1999), Gerard (1967), Lavelle (1998), Rundgren (1975)",,,,,,,
s_5,s_5,Pelosi_2013_22,48.800000,2.133333,2013,Applied Soil Ecology,Elsevier,Earthworm,Earthworms,Earthworms,"Lumbricus castaneus, Lumbricus rubellus, Satchellius mammalis, Lumbricus terrestris, Aporrectodea nocturna, Aporrectodea longa, Aporrectodea giardi, Allolobophora chlorotica, Aporrectodea icterica, Aporrectodea caliginosa, Aporrectodea rosea",Family,Family Lumbricidae,11,NA,"Epigeic, Anecic, Endogeic",Individual practice,Tillage management,Superficial tillage,ST,,,,,,,,,Direct-seeding,Rao's quadratic diversity,11,NA,No,NA,Functional,MultiTrait value,Univariate,"Boxplot, Figure 3.D","First, concerning ecomorphological groups, we hypothesized that (1) mechanical de-intensification changes their distribution, favoring anecics, as well as the species living in the topsoil, mostly epigeics, due to the progressive establishment of an organic layer. Second, tillage acts as an environmental filter, hence (2) functional traits converge to a narrower range of values with increasing of intensity of tillage. Regarding the diversity of traits, four sub-hypotheses are considered: (3.1) the largest and the most fragile (with a supple epithelium) organisms are most affected by intensive tillage. (3.2) More earthworms with a larger feather typhlosolis are found in plots with lower nutrient availability, i.e. the plowed plots. This hypothesis is based on Stevens and Hume (1995) who found that a larger feather typhlosolis is associated with higher nutrient uptake efficiency.","Body size, Body mass/length ratio, Epithelium type, Cocoon diameter, Typhlosolis type, Vertical distribution, Carbon requirement",7,"Morphological, Behavioral, Physiological",3,France,CI : gradient,"Bouché (1972), Sims and Gerard (1999), Gerard (1967), Lavelle (1998), Rundgren (1975)",,,,,,,
s_5,s_5,Pelosi_2013_23,48.800000,2.133333,2013,Applied Soil Ecology,Elsevier,Earthworm,Earthworms,Earthworms,"Lumbricus castaneus, Lumbricus rubellus, Satchellius mammalis, Lumbricus terrestris, Aporrectodea nocturna, Aporrectodea longa, Aporrectodea giardi, Allolobophora chlorotica, Aporrectodea icterica, Aporrectodea caliginosa, Aporrectodea rosea",Family,Family Lumbricidae,11,NA,"Epigeic, Anecic, Endogeic",Individual practice,Tillage management,Plowing,P,,,,,,,,,Direct-seeding,Rao's quadratic diversity,11,NA,No,NA,Functional,MultiTrait value,Univariate,"Boxplot, Figure 3.D","First, concerning ecomorphological groups, we hypothesized that (1) mechanical de-intensification changes their distribution, favoring anecics, as well as the species living in the topsoil, mostly epigeics, due to the progressive establishment of an organic layer. Second, tillage acts as an environmental filter, hence (2) functional traits converge to a narrower range of values with increasing of intensity of tillage. Regarding the diversity of traits, four sub-hypotheses are considered: (3.1) the largest and the most fragile (with a supple epithelium) organisms are most affected by intensive tillage. (3.2) More earthworms with a larger feather typhlosolis are found in plots with lower nutrient availability, i.e. the plowed plots. This hypothesis is based on Stevens and Hume (1995) who found that a larger feather typhlosolis is associated with higher nutrient uptake efficiency.","Body size, Body mass/length ratio, Epithelium type, Cocoon diameter, Typhlosolis type, Vertical distribution, Carbon requirement",7,"Morphological, Behavioral, Physiological",3,France,CI : gradient,"Bouché (1972), Sims and Gerard (1999), Gerard (1967), Lavelle (1998), Rundgren (1975)",,,,,,,
s_5,s_5,Pelosi_2013_24,48.800000,2.133333,2013,Applied Soil Ecology,Elsevier,Earthworm,Earthworms,Earthworms,"Lumbricus castaneus, Lumbricus rubellus, Satchellius mammalis, Lumbricus terrestris, Aporrectodea nocturna, Aporrectodea longa, Aporrectodea giardi, Allolobophora chlorotica, Aporrectodea icterica, Aporrectodea caliginosa, Aporrectodea rosea",Family,Family Lumbricidae,11,NA,"Epigeic, Anecic, Endogeic",Individual practice,Tillage management,Plowing,P,,,,,,,,,Superficial tillage,Rao's quadratic diversity,11,NA,No,NA,Functional,MultiTrait value,Univariate,"Boxplot, Figure 3.D","First, concerning ecomorphological groups, we hypothesized that (1) mechanical de-intensification changes their distribution, favoring anecics, as well as the species living in the topsoil, mostly epigeics, due to the progressive establishment of an organic layer. Second, tillage acts as an environmental filter, hence (2) functional traits converge to a narrower range of values with increasing of intensity of tillage. Regarding the diversity of traits, four sub-hypotheses are considered: (3.1) the largest and the most fragile (with a supple epithelium) organisms are most affected by intensive tillage. (3.2) More earthworms with a larger feather typhlosolis are found in plots with lower nutrient availability, i.e. the plowed plots. This hypothesis is based on Stevens and Hume (1995) who found that a larger feather typhlosolis is associated with higher nutrient uptake efficiency.","Body size, Body mass/length ratio, Epithelium type, Cocoon diameter, Typhlosolis type, Vertical distribution, Carbon requirement",7,"Morphological, Behavioral, Physiological",3,France,CI : gradient,"Bouché (1972), Sims and Gerard (1999), Gerard (1967), Lavelle (1998), Rundgren (1975)",,,,,,,
s_5,s_5,Pelosi_2013_25,48.800000,2.133333,2013,Applied Soil Ecology,Elsevier,Earthworm,Earthworms,Earthworms,"Lumbricus castaneus, Lumbricus rubellus, Satchellius mammalis, Lumbricus terrestris, Aporrectodea nocturna, Aporrectodea longa, Aporrectodea giardi, Allolobophora chlorotica, Aporrectodea icterica, Aporrectodea caliginosa, Aporrectodea rosea",Family,Family Lumbricidae,11,NA,"Epigeic, Anecic, Endogeic",Individual practice,Tillage management,Superficial tillage,ST,,,,,,,,,Direct-seeding,CWM,11,mm,No,NA,Functional,Trait value,Univariate,Table 4,"First, concerning ecomorphological groups, we hypothesized that (1) mechanical de-intensification changes their distribution, favoring anecics, as well as the species living in the topsoil, mostly epigeics, due to the progressive establishment of an organic layer. Second, tillage acts as an environmental filter, hence (2) functional traits converge to a narrower range of values with increasing of intensity of tillage. Regarding the diversity of traits, four sub-hypotheses are considered: (3.1) the largest and the most fragile (with a supple epithelium) organisms are most affected by intensive tillage. (3.2) More earthworms with a larger feather typhlosolis are found in plots with lower nutrient availability, i.e. the plowed plots. This hypothesis is based on Stevens and Hume (1995) who found that a larger feather typhlosolis is associated with higher nutrient uptake efficiency.",Body size,1,Morphological,1,France,CI : gradient,"Bouché (1972), Sims and Gerard (1999)",,,,,,,
s_5,s_5,Pelosi_2013_26,48.800000,2.133333,2013,Applied Soil Ecology,Elsevier,Earthworm,Earthworms,Earthworms,"Lumbricus castaneus, Lumbricus rubellus, Satchellius mammalis, Lumbricus terrestris, Aporrectodea nocturna, Aporrectodea longa, Aporrectodea giardi, Allolobophora chlorotica, Aporrectodea icterica, Aporrectodea caliginosa, Aporrectodea rosea",Family,Family Lumbricidae,11,NA,"Epigeic, Anecic, Endogeic",Individual practice,Tillage management,Superficial tillage,ST,,,,,,,,,Direct-seeding,CWM,11,g.mm⁻¹,No,NA,Functional,Trait value,Univariate,Table 4,"First, concerning ecomorphological groups, we hypothesized that (1) mechanical de-intensification changes their distribution, favoring anecics, as well as the species living in the topsoil, mostly epigeics, due to the progressive establishment of an organic layer. Second, tillage acts as an environmental filter, hence (2) functional traits converge to a narrower range of values with increasing of intensity of tillage. Regarding the diversity of traits, four sub-hypotheses are considered: (3.1) the largest and the most fragile (with a supple epithelium) organisms are most affected by intensive tillage. (3.2) More earthworms with a larger feather typhlosolis are found in plots with lower nutrient availability, i.e. the plowed plots. This hypothesis is based on Stevens and Hume (1995) who found that a larger feather typhlosolis is associated with higher nutrient uptake efficiency.",Body mass/length ratio,1,Morphological,1,France,CI : gradient,"Bouché (1972), Sims and Gerard (1999)",,,,,,,
s_5,s_5,Pelosi_2013_27,48.800000,2.133333,2013,Applied Soil Ecology,Elsevier,Earthworm,Earthworms,Earthworms,"Lumbricus castaneus, Lumbricus rubellus, Satchellius mammalis, Lumbricus terrestris, Aporrectodea nocturna, Aporrectodea longa, Aporrectodea giardi, Allolobophora chlorotica, Aporrectodea icterica, Aporrectodea caliginosa, Aporrectodea rosea",Family,Family Lumbricidae,11,NA,"Epigeic, Anecic, Endogeic",Individual practice,Tillage management,Superficial tillage,ST,,,,,,,,,Direct-seeding,CWM,11,mm,No,NA,Functional,Trait value,Univariate,Table 4,"First, concerning ecomorphological groups, we hypothesized that (1) mechanical de-intensification changes their distribution, favoring anecics, as well as the species living in the topsoil, mostly epigeics, due to the progressive establishment of an organic layer. Second, tillage acts as an environmental filter, hence (2) functional traits converge to a narrower range of values with increasing of intensity of tillage. Regarding the diversity of traits, four sub-hypotheses are considered: (3.1) the largest and the most fragile (with a supple epithelium) organisms are most affected by intensive tillage. (3.2) More earthworms with a larger feather typhlosolis are found in plots with lower nutrient availability, i.e. the plowed plots. This hypothesis is based on Stevens and Hume (1995) who found that a larger feather typhlosolis is associated with higher nutrient uptake efficiency.",Cocoon diameter,1,Morphological,1,France,CI : gradient,"Bouché (1972), Sims and Gerard (1999)",,,,,,,
s_5,s_5,Pelosi_2013_28,48.800000,2.133333,2013,Applied Soil Ecology,Elsevier,Earthworm,Earthworms,Earthworms,"Lumbricus castaneus, Lumbricus rubellus, Satchellius mammalis, Lumbricus terrestris, Aporrectodea nocturna, Aporrectodea longa, Aporrectodea giardi, Allolobophora chlorotica, Aporrectodea icterica, Aporrectodea caliginosa, Aporrectodea rosea",Family,Family Lumbricidae,11,NA,"Epigeic, Anecic, Endogeic",Individual practice,Tillage management,Superficial tillage,ST,,,,,,,,,Direct-seeding,CWM,11,NA,No,NA,Functional,Trait value,Univariate,Table 4,"First, concerning ecomorphological groups, we hypothesized that (1) mechanical de-intensification changes their distribution, favoring anecics, as well as the species living in the topsoil, mostly epigeics, due to the progressive establishment of an organic layer. Second, tillage acts as an environmental filter, hence (2) functional traits converge to a narrower range of values with increasing of intensity of tillage. Regarding the diversity of traits, four sub-hypotheses are considered: (3.1) the largest and the most fragile (with a supple epithelium) organisms are most affected by intensive tillage. (3.2) More earthworms with a larger feather typhlosolis are found in plots with lower nutrient availability, i.e. the plowed plots. This hypothesis is based on Stevens and Hume (1995) who found that a larger feather typhlosolis is associated with higher nutrient uptake efficiency.",Epithelium type,1,Morphological,1,France,CI : gradient,"Bouché (1972), Sims and Gerard (1999)",,,,,,,
